human_gene_symbols,dmel_gene_id,dmel_gene_symbol,neuron_mean_expression,neuron_positive_percent,interneuron_mean_expression,interneuron_positive_percent,motor_neuron_mean_expression,motor_neuron_positive_percent,sensory_neuron_mean_expression,sensory_neuron_positive_percent,sensory_organ_cell_mean_expression,sensory_organ_cell_positive_percent,glial_cell_mean_expression,glial_cell_positive_percent
ABHD5,FBgn0033226,puml,532,7,825,2,333,2,541,8,606,8,589,9
ADGRL3,FBgn0030887,CG6867,610,5,922,4,315,3,594,6,605,4,544,3
ADGRL3,FBgn0033313,Cirl,1083,50,1223,43,1015,77,901,46,944,45,971,48
AMT,FBgn0032287,Gcst,468,0,773,0,0,0,486,0,459,0,516,0
ANO10,FBgn0000152,Axs,509,3,769,1,535,5,484,2,528,2,617,3
ANO10,FBgn0028879,wwk,816,28,969,19,692,55,831,31,851,30,618,14
ARHGAP28,FBgn0039994,conu,658,23,900,13,484,27,644,24,687,21,690,23
ARHGAP39,FBgn0038853,RhoGAP93B,824,36,1200,42,792,62,748,33,796,32,863,31
ATP6V0B,FBgn0028662,VhaPPA1-1,663,19,927,13,489,15,646,21,680,19,656,20
ATP6V0B,FBgn0262514,VhaPPA1-2,250,0,0,0,0,0,281,0,526,2,434,7
B4GALT2,FBgn0027538,beta4GalNAcTA,553,3,925,2,383,2,526,3,565,3,522,2
B4GALT2,FBgn0039625,beta4GalNAcTB,550,2,914,1,288,1,542,2,604,1,548,2
C8orf82,FBgn0050010,CG30010,503,0,803,0,385,0,512,0,554,0,535,0
CAMKV,FBgn0261387,CG17528,609,15,889,8,473,19,606,17,645,15,595,13
CAMKV,FBgn0016126,CaMKI,1453,65,1422,53,851,68,1741,75,1748,71,1116,46
CAMKV,FBgn0264607,CaMKII,1676,79,1956,76,1759,94,1502,79,1486,74,1269,59
CDC20,FBgn0262699,fzr,606,13,882,9,469,16,604,14,631,13,567,11
CDC20,FBgn0034937,fzr2,507,0,725,0,0,0,536,0,601,1,595,1
CDC20,FBgn0001086,fzy,347,0,830,0,150,0,397,0,479,0,413,0
CDH8,FBgn0262018,CadN2,628,7,906,12,689,16,546,2,563,4,639,6
COMMD5,FBgn0067622,LSm-4,372,8,535,5,308,9,361,8,386,7,346,7
CUBN,FBgn0261262,CG42613,1143,30,1640,56,1268,82,834,8,934,14,5276,32
CUBN,FBgn0052702,Cubn,516,3,777,1,358,9,528,2,568,2,574,2
CUBN,FBgn0259140,Cubn2,480,0,0,0,0,0,186,0,197,0,503,0
CYHR1,FBgn0266918,CG32486,979,52,1269,47,878,73,959,55,1002,53,1048,54
DCC,FBgn0011592,fra,609,12,941,9,527,22,560,9,589,8,687,15
DUSP6,FBgn0036844,Mkp3,1172,53,1524,51,1247,71,1098,53,1165,51,1658,65
ELOVL1,FBgn0260960,Baldspot,775,24,1029,20,506,29,739,26,763,25,802,27
ELOVL1,FBgn0037763,CG16904,527,2,855,1,382,1,486,0,455,0,658,2
ELOVL1,FBgn0034383,CG17821,495,0,495,0,0,0,607,0,464,0,294,1
ELOVL1,FBgn0050008,CG30008,659,4,761,0,441,4,659,2,725,2,560,2
