human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
ANO10,FBgn0000152,Axs,FBbt:00100501,adult brain cell body glial cell,0.196581,1149.031481,20,1
ANO10,FBgn0000152,Axs,FBbt:00110066,proximal medullary amacrine neuron Pm3,0.190476,276.995542,2,2
ANO10,FBgn0000152,Axs,FBbt:00048313,ITP neuron,0.190476,49.755088,1,3
ANO10,FBgn0000152,Axs,FBbt:00110925,Hugin neuron,0.176471,214.972503,1,4
ANO10,FBgn0000152,Axs,FBbt:00048284,adult multidendritic neuron,0.151515,597.5538,8,5
TMEM200C,FBgn0035171,CG12502,FBbt:00003776,medulla intrinsic neuron Mi1,0.597598,1327.928143,18,1
TMEM200C,FBgn0035171,CG12502,FBbt:00058251,adult perineurial glial cell,0.5,515.72974,8,2
TMEM200C,FBgn0035171,CG12502,FBbt:00003789,transmedullary neuron Tm1,0.466276,1247.76747,7,3
TMEM200C,FBgn0035171,CG12502,FBbt:00111271,distal medullary amacrine neuron Dm9,0.465116,1526.784044,18,4
TMEM200C,FBgn0035171,CG12502,FBbt:00111282,proximal medullary amacrine neuron Pm4,0.44,1741.774787,8,5
REELD1,FBgn0039648,CG14515,FBbt:00048313,ITP neuron,0.047619,188.67924,1,1
REELD1,FBgn0039648,CG14515,FBbt:00013774,distal medullary amacrine neuron Dm8a,0.034483,1813.2366,7,2
REELD1,FBgn0039648,CG14515,FBbt:00049949,adult fat cell,0.027778,931.96643,2,3
REELD1,FBgn0039648,CG14515,FBbt:00003826,transmedullary Y neuron TmY8,0.027778,758.72534,4,4
REELD1,FBgn0039648,CG14515,FBbt:00004242,ocellar retinula cell,0.014493,334.67242,1,5
PPIH,FBgn0033089,CG17266,FBbt:00058222,sugar-sensing neuron of the adult brain,0.136364,51.004797,1,1
PPIH,FBgn0033089,CG17266,FBbt:00003629,DN1 neuron,0.12,136.705643,1,2
PPIH,FBgn0033089,CG17266,FBbt:00004046,LNv neuron,0.114286,79.38465,1,3
PPIH,FBgn0033089,CG17266,FBbt:00004211,photoreceptor neuron,0.1,846.74005,15,4
PPIH,FBgn0033089,CG17266,FBbt:00048313,ITP neuron,0.095238,35.817225,1,5
C8orf82,FBgn0050010,CG30010,FBbt:00048313,ITP neuron,0.380952,45.373717,1,1
C8orf82,FBgn0050010,CG30010,FBbt:00110925,Hugin neuron,0.352941,117.713902,1,2
C8orf82,FBgn0050010,CG30010,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.333333,890.4719,11,3
C8orf82,FBgn0050010,CG30010,FBbt:00111282,proximal medullary amacrine neuron Pm4,0.26,342.481717,2,4
C8orf82,FBgn0050010,CG30010,FBbt:00003768,distal medullary amacrine neuron Dm1,0.258065,227.853905,1,5
ELOVL1,FBgn0051522,CG31522,FBbt:00051420,adult mechanosensory neuron,0.587957,1266.111082,22,1
ELOVL1,FBgn0051522,CG31522,FBbt:00049568,leg muscle motor neuron,0.548387,707.327207,16,2
ELOVL1,FBgn0051522,CG31522,FBbt:00048471,nociceptive neuron,0.5,483.127171,6,3
ELOVL1,FBgn0051522,CG31522,FBbt:00048313,ITP neuron,0.47619,166.422928,1,4
ELOVL1,FBgn0051522,CG31522,FBbt:00047095,adult neuron,0.467337,2403.436536,50,5
CYHR1,FBgn0266918,CG32486,FBbt:00051053,adult corazonin neuron,1.0,551.315344,1,1
CYHR1,FBgn0266918,CG32486,FBbt:00003768,distal medullary amacrine neuron Dm1,0.935484,806.293078,1,2
CYHR1,FBgn0266918,CG32486,FBbt:00003771,distal medullary amacrine neuron Dm4,0.92,624.512846,1,3
CYHR1,FBgn0266918,CG32486,FBbt:00048471,nociceptive neuron,0.916667,658.885889,6,4
CYHR1,FBgn0266918,CG32486,FBbt:00003746,lamina intrinsic neuron Lai,0.906977,1476.772097,17,5
STK32C,FBgn0052944,CG32944,FBbt:00049568,leg muscle motor neuron,0.675676,712.699497,16,1
STK32C,FBgn0052944,CG32944,FBbt:00048284,adult multidendritic neuron,0.575758,444.501454,10,2
STK32C,FBgn0052944,CG32944,FBbt:00048313,ITP neuron,0.47619,136.068393,1,3
STK32C,FBgn0052944,CG32944,FBbt:00048900,lineage 15 secondary neuron,0.447574,317.440144,1,4
STK32C,FBgn0052944,CG32944,FBbt:00047095,adult neuron,0.363636,949.553198,50,5
RBM6,FBgn0031318,CG4887,FBbt:00049568,leg muscle motor neuron,0.642857,751.721544,16,1
RBM6,FBgn0031318,CG4887,FBbt:00057009,head cyst cell,0.509609,255.324664,4,2
RBM6,FBgn0031318,CG4887,FBbt:00058251,adult perineurial glial cell,0.5,1299.859608,18,3
RBM6,FBgn0031318,CG4887,FBbt:00067064,adult olfactory receptor neuron Gr21a/63a,0.5,880.18905,7,4
RBM6,FBgn0031318,CG4887,FBbt:00058143,adult hemocyte,0.482143,681.009328,7,5
ZNF16,FBgn0038047,CG5245,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.1,370.78235,2,1
ZNF16,FBgn0038047,CG5245,FBbt:00058251,adult perineurial glial cell,0.083333,1042.7528,7,2
ZNF16,FBgn0038047,CG5245,FBbt:00110107,adult insulin secreting cell of pars intercerebralis,0.066667,48.623943,1,3
ZNF16,FBgn0038047,CG5245,FBbt:00003768,distal medullary amacrine neuron Dm1,0.032258,200.48116,1,4
ZNF16,FBgn0038047,CG5245,FBbt:00048142,allatostatin A neuron,0.031915,155.817135,1,5
WDR12,FBgn0032298,CG6724,FBbt:00110925,Hugin neuron,0.147059,117.079326,1,1
WDR12,FBgn0032298,CG6724,FBbt:00004046,LNv neuron,0.142857,131.419594,1,2
WDR12,FBgn0032298,CG6724,FBbt:00048142,allatostatin A neuron,0.117021,158.767205,1,3
WDR12,FBgn0032298,CG6724,FBbt:00058203,adult octopaminergic neuron,0.106667,1015.7711,4,4
WDR12,FBgn0032298,CG6724,FBbt:00051469,hemilineage 9B secondary neuron,0.105023,344.770188,1,5
LSM6,FBgn0034564,CG9344,FBbt:00004046,LNv neuron,0.771429,185.027098,1,1
LSM6,FBgn0034564,CG9344,FBbt:00048313,ITP neuron,0.52381,148.603226,1,2
LSM6,FBgn0034564,CG9344,FBbt:00003629,DN1 neuron,0.48,311.172148,1,3
LSM6,FBgn0034564,CG9344,FBbt:00110925,Hugin neuron,0.441176,173.789447,1,4
LSM6,FBgn0034564,CG9344,FBbt:00110107,adult insulin secreting cell of pars intercerebralis,0.4,365.802232,1,5
MFSD3,FBgn0036662,CG9706,FBbt:00048313,ITP neuron,0.380952,63.531019,1,1
MFSD3,FBgn0036662,CG9706,FBbt:00111316,adult CCAP neuron,0.25,218.0663,1,2
