bridge_id,kind,linked_human_genes,linked_fly_genes,fca_cell_type,direction,annotated_group_neurons,tested_group_neurons,mean_dopamine_weight_fraction,matched_null_mean_fraction,fold_vs_matched_null,group_total_connection_weight,group_dopamine_connection_weight,group_total_degree,neurons_with_direct_dopamine_connection,empirical_p_one_sided,fdr_bh,permutations,matching,null_method
foxp-lc10c,candidate,FOXP1 | FOXP2,FoxP,lobula columnar neuron LC10c,dopamine_to_group,255,255,0.0026247776424312232,0.0010472897704504013,2.5062573095719265,170582,443,52590,195,9.999000099990002e-05,0.0010998900109989002,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
lar-tmy4,candidate,PTPRF,Lar,transmedullary Y neuron TmY4,group_to_dopamine,562,562,0.0015713643667214327,0.00022861322281280248,6.873462293159341,518777,788,244172,333,9.999000099990002e-05,0.0010998900109989002,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
lar-octopamine,candidate,PTPRF,Lar,adult octopaminergic neuron,dopamine_to_group,101,101,0.002881641126193178,0.0019121466970684544,1.5070188550967731,410698,2219,90282,51,0.065993400659934,0.48395160483951605,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
foxp-lc10c,candidate,FOXP1 | FOXP2,FoxP,lobula columnar neuron LC10c,group_to_dopamine,255,255,0.0003494257801443453,0.0002464218697915169,1.4179982500740456,304642,108,111739,53,0.16498350164983502,0.9074092590740926,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
camki-photoreceptor,candidate,CAMKV,CaMKI,photoreceptor neuron family,dopamine_to_group,6098,6093,0.0,3.37363557061122e-05,0.0,308999,0,68137,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
camki-photoreceptor,candidate,CAMKV,CaMKI,photoreceptor neuron family,group_to_dopamine,6098,6033,0.0,2.5538679707051865e-05,0.0,1270546,0,493075,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
cg32486-crz,candidate,CYHR1,CG32486,adult corazonin neuron,dopamine_to_group,5,5,0.0,0.009433851123045926,0.0,5295,0,1325,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
cg32486-crz,candidate,CYHR1,CG32486,adult corazonin neuron,group_to_dopamine,5,5,0.0,0.03839926007121803,0.0,913,0,687,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
cg32486-dm1,candidate,CYHR1,CG32486,distal medullary amacrine neuron Dm1,dopamine_to_group,80,80,0.0,0.0013117771253968722,0.0,126688,0,22205,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
cg32486-dm1,candidate,CYHR1,CG32486,distal medullary amacrine neuron Dm1,group_to_dopamine,80,80,0.0,0.0005128560887800033,0.0,244560,0,89374,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
foxp-cg32486-dm4,candidate,FOXP1 | FOXP2 | CYHR1,FoxP | CG32486,distal medullary amacrine neuron Dm4,dopamine_to_group,99,99,0.0,0.00028046150199914003,0.0,58517,0,11510,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
foxp-cg32486-dm4,candidate,FOXP1 | FOXP2 | CYHR1,FoxP | CG32486,distal medullary amacrine neuron Dm4,group_to_dopamine,99,99,0.0,0.000514059683697168,0.0,252321,0,94328,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
lar-lawf2,candidate,PTPRF,Lar,lamina wide-field 2 neuron,dopamine_to_group,383,383,0.0,0.0009030100557032878,0.0,173952,0,63200,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
lar-lawf2,candidate,PTPRF,Lar,lamina wide-field 2 neuron,group_to_dopamine,383,278,0.0,5.0786218498621e-05,0.0,45436,0,26790,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
lar-octopamine,candidate,PTPRF,Lar,adult octopaminergic neuron,group_to_dopamine,101,101,0.001531392732842901,0.001501001027704458,1.020247624470266,845051,3725,475238,45,0.42125787421257876,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
lar-tmy4,candidate,PTPRF,Lar,transmedullary Y neuron TmY4,dopamine_to_group,562,562,0.0008858893179670033,0.001469078959832956,0.6030236237729079,306865,274,127116,204,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
sema1a-alpn,candidate,SEMA6D,Sema1a,antennal lobe projection neuron,dopamine_to_group,686,686,0.0023181035384911815,0.013695327921021658,0.1692623609934163,1473595,2361,249618,453,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
sema1a-alpn,candidate,SEMA6D,Sema1a,antennal lobe projection neuron,group_to_dopamine,686,686,0.0010187498651623196,0.004440617162085972,0.229416278858807,4932445,3997,2342173,301,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
sema1a-hugin,candidate,SEMA6D,Sema1a,Hugin neuron,dopamine_to_group,4,4,0.0,0.003597830985948559,0.0,290,0,149,0,1.0,1.0,10000,anatomical family + total connection strength quintile + degree quintile,stratified bootstrap with replacement
