downstream_group,total_weight,target_neurons,consensus_dopamine_edges,fraction_of_consensus_dopamine_output
unannotated,277333,255293,265941,0.3219916289816035
KCg-m,102041,1342,56404,0.11847255037414156
KCab-s,29258,657,17129,0.03396938366780641
KCa'b'-ap2,25205,291,12605,0.029263733520645995
KCa'b'-m,19352,205,8569,0.022468231346619374
KCa'b'-ap1,19285,199,7997,0.0223904424100638
KCab-m,18337,536,10797,0.021289787009247597
KCg-d,16874,206,7128,0.019591201722966894
KCab-p,14215,129,4799,0.016504025867723978
KCab-c,12279,488,7667,0.014256273909938989
APL,11669,2,628,0.013548046278612107
MBON09,5617,4,300,0.006521499352726386
hDeltaB,5069,19,201,0.005885255513436007
MBON03,4876,2,190,0.005661176934999797
MBON05,4727,2,237,0.0054881836283314275
MBON06,4624,2,126,0.005368597651238528
DPM,4184,2,580,0.004857744933560121
MBON11,3120,2,154,0.0036224101799014288
cb_intrinsic,2853,534,1297,0.003312415462582941
MBON01,2598,2,183,0.003016353092110228
MBON07,2370,4,123,0.0027516385020405084
hDeltaJ,2104,31,380,0.0024428048136258354
MBON04,2055,2,192,0.0023859143973389216
PFNd,1986,40,447,0.002305803402975717
MBON26,1613,2,141,0.001872739621852886
MBON02,1446,2,142,0.0016788477949158545
Li14,1445,216,669,0.0016776867660120399
PAM08,1367,50,776,0.001587126511514504
hDeltaA,1353,12,152,0.0015708721068611003
MBON21,1282,2,236,0.0014884390546902665
PAM10,1257,15,389,0.0014594133320949025
Li21,1249,202,581,0.001450125100864386
PFR_a,1246,28,298,0.0014466420141529424
EPG,1168,46,332,0.0013560817596554066
MBON32,1157,2,39,0.0013433104417134465
PAM01,1147,44,582,0.001331700152675301
MBON12,1115,4,53,0.001294547227753235
PAM06,1111,28,705,0.0012899031121379767
PFNp_b,1081,136,546,0.00125507224502354
MBON35,1062,2,42,0.0012330126958510633
LC17,1044,325,546,0.001212114175582401
MBON14,1005,4,15,0.0011668340483336332
vDeltaI_a,999,17,133,0.0011598678749107458
ER4d,965,26,105,0.0011203928921810508
PAM04,960,32,620,0.0011145877476619781
FB4M,921,4,80,0.0010693076204132102
MBON31,903,2,54,0.0010484091001445482
PAM05,898,20,479,0.0010426039556254753
PFL3,888,24,265,0.0010309936665873296
LPLC4,848,97,316,0.0009845525104347473
PAM12,839,22,315,0.0009741032503004163
MBON13,838,2,19,0.0009729422213966017
Li22,835,220,522,0.000969459134685158
OA-VPM3,819,2,105,0.000950882672224125
hDeltaI,818,17,240,0.0009497216433203105
PFNv,789,20,155,0.0009160518051096882
PFNm_b,772,26,117,0.0008963143137448407
PPL101,763,2,59,0.0008858650536105096
MeVP17,760,14,65,0.0008823819668990659
FB3A,746,4,52,0.0008661275622456621
PAM11,729,15,298,0.0008463900708808146
FB4C,725,2,52,0.0008417459552655563
KCg-s1,689,2,157,0.0007999489147282322
PEN_a(PEN1),668,20,174,0.0007755673077481264
MBON27,667,2,147,0.0007744062788443118
PPL103,667,2,43,0.0007744062788443118
vDeltaM,665,55,367,0.0007720842210366827
ExR1,663,4,32,0.0007697621632290535
FC1B,660,22,149,0.0007662790765176099
LC10b,657,93,257,0.0007627959898061662
PAM07,648,14,232,0.0007523467296718352
MBON24,643,2,117,0.0007465415851527624
LC13,634,168,396,0.0007360923250184314
PFR_b,634,16,169,0.0007360923250184314
Li33,622,2,8,0.0007221599781726566
PAM13,621,16,311,0.0007209989492688421
vDeltaL,614,37,275,0.0007128717469421401
TmY17,612,297,480,0.0007105496891345111
LC10d,605,196,399,0.0007024224868078091
FC2A,598,18,182,0.0006942952844811071
TmY5a,594,449,548,0.0006896511688658489
PFNp_c,590,40,203,0.0006850070532505906
vDeltaI_b,585,20,135,0.0006792019087315179
FB4L,571,4,65,0.000662947504078114
MBON30,570,2,104,0.0006617864751742995
MBON29,568,2,146,0.0006594644173666703
FB2B_a,559,4,52,0.0006490151572323393
LT52,555,34,129,0.000644371041617081
MBON18,553,2,15,0.000642048983809452
vDeltaG,553,18,145,0.000642048983809452
MBON33,551,2,92,0.0006397269260018228
TmY9a,546,303,452,0.00063392178148275
vDeltaH,532,9,76,0.0006176673768293462
Li23,527,115,297,0.0006118622323102734
PFNa,527,58,274,0.0006118622323102734
LC20a,526,62,210,0.0006107012034064588
vDeltaK,517,47,256,0.0006002519432721277
PPL105,515,2,18,0.0005979298854644987
PAM14,506,18,330,0.0005874806253301676
FB2I_a,498,10,93,0.0005781923940996511
LC10a,497,209,368,0.0005770313651958366
MBON10,496,9,220,0.000575870336292022
AVLP749m,494,12,68,0.0005735482784843929
Li39,474,2,11,0.0005503277004081016
FB1H,472,2,65,0.0005480056426004726
LOLP1,468,69,220,0.0005433615269852143
LT51,463,22,97,0.0005375563824661415
FB4Y,459,4,92,0.0005329122668508833
TmY20,458,244,379,0.0005317512379470687
FB5N,456,4,30,0.0005294291801394396
FC2B,454,27,200,0.0005271071223318104
LC20b,442,76,217,0.0005131747754860358
hDeltaH,438,8,79,0.0005085306598707775
MBON20,436,2,55,0.0005062086020631483
PEN_b(PEN2),430,22,159,0.000499242428640261
FB2D,423,6,72,0.0004911152263135591
ER2_c,422,20,80,0.0004899541974097445
AVLP001,415,2,16,0.0004818269950830426
