rank,bodyId,consensus_dopamine_input_weight,consensus_dopamine_edge_count,fraction_of_consensus_dopamine_output,type,instance,class,subclass,superclass,supertype,flywireType,hemibrainType,mancType,vfbId,somaSide,somaNeuromere,rootSide,statusLabel,receptorType
1,10977,5942,312,0.006898833746466118,APL,APL_L,,,cb_intrinsic,,APL,APL,,VFB_jrmc3hpm,L,,,Roughly traced,
2,10540,5727,316,0.006649212532145988,APL,APL_R,,,cb_intrinsic,,APL,APL,,VFB_jrmc3hpl,R,,,Roughly traced,
3,521526,2755,102,0.003198634630009114,MBON03,MBON03(B'2mp)_R,MBON,,cb_intrinsic,,MBON03,MBON03,,VFB_jrmc2098,R,,,Roughly traced,
4,10495,2616,129,0.00303725161237889,MBON05,MBON05(y4>y1y2)_R,MBON,,cb_intrinsic,,MBON05,MBON05,,VFB_jrmc209c,R,,,Roughly traced,
5,11734,2368,290,0.002749316444232879,DPM,DPM_L,,,cb_intrinsic,,DPM,DPM,,VFB_jrmc30wd,L,,,Roughly traced,
6,12690,2347,59,0.0027249348372527732,MBON06,MBON06(B1>a)_L,MBON,,cb_intrinsic,,MBON06,MBON06,,VFB_jrmc209e,L,,,Roughly traced,
7,10079,2277,67,0.002643662813985754,MBON06,MBON06(B1>a)_R,MBON,,cb_intrinsic,,MBON06,MBON06,,VFB_jrmc209d,R,,,Roughly traced,
8,519373,2121,88,0.0024625423049906827,MBON03,MBON03(B'2mp)_L,MBON,,cb_intrinsic,,MBON03,MBON03,,VFB_jrmc2097,L,,,Roughly traced,
9,519371,2111,108,0.0024509320159525373,MBON05,MBON05(y4>y1y2)_L,MBON,,cb_intrinsic,,MBON05,MBON05,,VFB_jrmc209b,L,,,Roughly traced,
10,11402,1856,90,0.0021548696454798243,MBON11,MBON11(y1pedc>a/B)_R,MBON,,cb_intrinsic,,MBON11,MBON11,,VFB_jrmc209x,R,,,Roughly traced,
11,12569,1816,290,0.002108428489327242,DPM,DPM_R,,,cb_intrinsic,,DPM,DPM,,VFB_jrmc30we,R,,,Roughly traced,
12,523060,1539,74,0.0017868234829706085,MBON09,MBON09(y3B'1)_R,MBON,,cb_intrinsic,18713,MBON09,MBON09,,VFB_jrmc209l,R,,,Roughly traced,
13,19267,1436,73,0.0016672375058777089,MBON09,MBON09(y3B'1)_L,MBON,,cb_intrinsic,18713,MBON09,MBON09,,VFB_jrmc209k,L,,,Roughly traced,
14,18713,1401,77,0.0016266014942441993,MBON09,MBON09(y3B'1)_L,MBON,,cb_intrinsic,18713,MBON09,MBON09,,VFB_jrmc209j,L,,,Roughly traced,
15,10013,1311,99,0.0015221088929008887,MBON01,MBON01(y5B'2a)_R,MBON,,cb_intrinsic,,MBON01,MBON01,,VFB_jrmc2094,R,,,Roughly traced,
16,520151,1287,84,0.0014942441992093394,MBON01,MBON01(y5B'2a)_L,MBON,,cb_intrinsic,,MBON01,MBON01,,VFB_jrmc2093,L,,,Roughly traced,
17,10704,1264,64,0.0014675405344216044,MBON11,MBON11(y1pedc>a/B)_L,MBON,,cb_intrinsic,,MBON11,MBON11,,VFB_jrmc209w,L,,,Roughly traced,
18,21242,1241,76,0.0014408368696338695,MBON09,MBON09(y3B'1)_R,MBON,,cb_intrinsic,18713,MBON09,MBON09,,VFB_jrmc209m,R,,,Roughly traced,
19,525780,1176,101,0.0013653699908859232,MBON04,MBON04(B'2mp_bilateral)_R,MBON,,cb_intrinsic,,MBON04,MBON04,,VFB_jrmc2099,R,,,Roughly traced,
20,524893,977,77,0.0011343252390268255,MBON26,MBON26(b'2d)_L,MBON,,cb_intrinsic,,MBON26,MBON26,,VFB_jrmc20b9,L,,,Roughly traced,
21,530875,879,91,0.0010205444064529986,MBON04,MBON04(B'2mp_bilateral)_L,MBON,,cb_intrinsic,,MBON04,MBON04,,VFB_jrmc209a,L,,,Roughly traced,
22,522444,739,71,0.0008580003599189602,MBON02,MBON02(B2B'2a)_R,MBON,,cb_intrinsic,,MBON02,MBON02,,VFB_jrmc2095,R,,,Roughly traced,
23,522749,707,71,0.0008208474349968943,MBON02,MBON02(B2B'2a)_L,MBON,,cb_intrinsic,,MBON02,MBON02,,VFB_jrmc2096,L,,,Roughly traced,
24,523628,660,129,0.0007662790765176099,MBON21,MBON21(y4y5)_R,MBON,,cb_intrinsic,,MBON21,MBON21,,VFB_jrmc20au,R,,,Roughly traced,
25,11176,636,64,0.0007384143828260604,MBON26,MBON26(b'2d)_R,MBON,,cb_intrinsic,,MBON26,MBON26,,VFB_jrmc20b8,R,,,Roughly traced,
26,18603,626,33,0.0007268040937879149,MBON07,MBON07(a1)_L,MBON,,cb_intrinsic,12859,MBON07,MBON07,,VFB_jrmc209h,L,,,Roughly traced,
27,11455,623,20,0.0007233210070764712,MBON32,MBON32(y2)_L,MBON,,cb_intrinsic,,MBON32,MBON32,,VFB_jrmc20bl,L,,,Roughly traced,
28,10826,622,107,0.0007221599781726566,MBON21,MBON21(y4y5)_L,MBON,,cb_intrinsic,,MBON21,MBON21,,VFB_jrmc20av,L,,,Roughly traced,
29,515338,615,31,0.0007140327758459547,MBON07,MBON07(a1)_R,MBON,,cb_intrinsic,12859,MBON07,MBON07,,VFB_jrmc209i,R,,,Roughly traced,
30,15626,566,27,0.0006571423595590412,MBON07,MBON07(a1)_L,MBON,,cb_intrinsic,12859,MBON07,MBON07,,VFB_jrmc209g,L,,,Roughly traced,
31,12859,563,32,0.0006536592728475975,MBON07,MBON07(a1)_R,MBON,,cb_intrinsic,12859,MBON07,MBON07,,VFB_jrmc209f,R,,,Roughly traced,
32,10599,545,22,0.0006327607525789355,MBON35,MBON35(y2)_L,MBON,,cb_intrinsic,,MBON35,MBON35,,VFB_jrmc20br,L,,,Roughly traced,
33,519131,534,19,0.0006199894346369753,MBON32,MBON32(y2)_R,MBON,,cb_intrinsic,,MBON32,MBON32,,VFB_jrmc20bk,R,,,Roughly traced,
34,508595,517,20,0.0006002519432721277,MBON35,MBON35(y2)_R,MBON,,cb_intrinsic,,MBON35,MBON35,,VFB_jrmc20bq,R,,,Roughly traced,
35,10816,471,29,0.0005468446136966579,MBON31,MBON31(a'1a)_L,MBON,,cb_intrinsic,,MBON31,MBON31,,VFB_jrmc20bi,L,,,Roughly traced,
36,12726,438,11,0.0005085306598707775,MBON13,MBON13(a'2)_L,MBON,,cb_intrinsic,12726,MBON13,MBON13,,VFB_jrmc20a2,L,,,Roughly traced,
37,11805,432,25,0.0005015644864478901,MBON31,MBON31(a'1a)_R,MBON,,cb_intrinsic,,MBON31,MBON31,,VFB_jrmc20bj,R,,,Roughly traced,
