human_gene_symbol,dmel_gene_id,dmel_gene_symbol,diopt_score,top_diopt_for_human_gene,hgnc_id,omim_gene_id,omim_phenotype_ids,flybase_disease_model_count,flybase_disease_model_ids,ortholog_source
ABHD5,FBgn0033226,puml,12,True,HGNC:21396,MIM:604780,275630,1,FBhh0001152,FlyBase_FB2026_02
ADGRL3,FBgn0033313,Cirl,10,True,HGNC:20974,MIM:616417,,1,FBhh0000655,FlyBase_FB2026_02
ADGRL3,FBgn0030887,CG6867,3,False,HGNC:20974,MIM:616417,,0,,FlyBase_FB2026_02
AMIGO3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
AMT,FBgn0032287,Gcst,14,True,HGNC:473,MIM:238310,620398,0,,FlyBase_FB2026_02
ANO10,FBgn0000152,Axs,11,True,HGNC:25519,MIM:613726,613728,0,,FlyBase_FB2026_02
ANO10,FBgn0028879,wwk,5,False,HGNC:25519,MIM:613726,613728,0,,FlyBase_FB2026_02
ARHGAP28,FBgn0039994,conu,10,True,HGNC:25509,MIM:610592,,0,,FlyBase_FB2026_02
ARHGAP39,FBgn0038853,RhoGAP93B,12,True,HGNC:29351,MIM:615880,,0,,FlyBase_FB2026_02
ARTN,,,,False,,,,0,,FlyBase_FB2026_02_no_match
ATP6V0B,FBgn0028662,VhaPPA1-1,14,True,HGNC:861,MIM:603717,,0,,FlyBase_FB2026_02
ATP6V0B,FBgn0262514,VhaPPA1-2,10,False,HGNC:861,MIM:603717,,0,,FlyBase_FB2026_02
B4GALT2,FBgn0027538,beta4GalNAcTA,13,True,HGNC:925,MIM:604013,,0,,FlyBase_FB2026_02
B4GALT2,FBgn0039625,beta4GalNAcTB,4,False,HGNC:925,MIM:604013,,0,,FlyBase_FB2026_02
BSN,,,,False,,,,0,,FlyBase_FB2026_02_no_match
C12orf68,,,,False,,,,0,,FlyBase_FB2026_02_no_match
C1orf210,,,,False,,,,0,,FlyBase_FB2026_02_no_match
C8orf82,FBgn0050010,CG30010,13,True,HGNC:33826,,,0,,FlyBase_FB2026_02
CADM2,,,,False,,,,0,,FlyBase_FB2026_02_no_match
CALN1,,,,False,,,,0,,FlyBase_FB2026_02_no_match
CAMKV,FBgn0016126,CaMKI,6,True,HGNC:28788,MIM:614993,,0,,FlyBase_FB2026_02
CAMKV,FBgn0261387,CG17528,3,False,HGNC:28788,MIM:614993,,0,,FlyBase_FB2026_02
CAMKV,FBgn0264607,CaMKII,3,False,HGNC:28788,MIM:614993,,2,FBhh0000870 | FBhh0001185,FlyBase_FB2026_02
CARF,,,,False,,,,0,,FlyBase_FB2026_02_no_match
CCDC24,,,,False,,,,0,,FlyBase_FB2026_02_no_match
CDC20,FBgn0001086,fzy,13,True,HGNC:1723,MIM:603618,620276,0,,FlyBase_FB2026_02
CDC20,FBgn0262699,fzr,4,False,HGNC:1723,MIM:603618,620276,1,FBhh0001467,FlyBase_FB2026_02
CDC20,FBgn0034937,fzr2,4,False,HGNC:1723,MIM:603618,620276,0,,FlyBase_FB2026_02
CDH8,FBgn0262018,CadN2,3,True,HGNC:1767,MIM:603008,,0,,FlyBase_FB2026_02
CNBD1,,,,False,,,,0,,FlyBase_FB2026_02_no_match
COL19A1,,,,False,,,,0,,FlyBase_FB2026_02_no_match
COMMD5,FBgn0067622,LSm-4,10,True,HGNC:17902,MIM:608216,,0,,FlyBase_FB2026_02
CTD-2330K9.3,,,,False,,,,0,,FlyBase_FB2026_02_no_match
CUBN,FBgn0052702,Cubn,12,True,HGNC:2548,MIM:602997,"261100,618884",1,FBhh0000550,FlyBase_FB2026_02
CUBN,FBgn0259140,Cubn2,11,False,HGNC:2548,MIM:602997,"261100,618884",1,FBhh0000550,FlyBase_FB2026_02
CUBN,FBgn0261262,CG42613,3,False,HGNC:2548,MIM:602997,"261100,618884",0,,FlyBase_FB2026_02
CYHR1,FBgn0266918,CG32486,14,True,HGNC:17806,MIM:616635,,0,,FlyBase_FB2026_02
DCC,FBgn0011592,fra,12,True,HGNC:2701,MIM:120470,"114500,133239,157600,617542",1,FBhh0001607,FlyBase_FB2026_02
DUSP6,FBgn0036844,Mkp3,11,True,HGNC:3072,MIM:602748,615269,0,,FlyBase_FB2026_02
ELOVL1,FBgn0051522,CG31522,12,True,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0051523,CG31523,11,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0037534,Elovl7,11,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0038986,sit,7,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0037763,CG16904,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0034383,CG17821,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0050008,CG30008,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0051141,CG31141,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0053110,CG33110,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0038983,CG5326,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0039030,CG6660,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0037761,CG8534,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0037765,CG9458,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0037764,CG9459,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0260942,bond,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0037762,eloF,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0034382,mElo,6,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0052072,Elo68alpha,5,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0036128,Elo68beta,5,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
ELOVL1,FBgn0260960,Baldspot,4,False,HGNC:14418,MIM:611813,618527,0,,FlyBase_FB2026_02
FAM198A,,,,False,,,,0,,FlyBase_FB2026_02_no_match
FAM203A,,,,False,,,,0,,FlyBase_FB2026_02_no_match
FAM212A,,,,False,,,,0,,FlyBase_FB2026_02_no_match
FAM83H,,,,False,,,,0,,FlyBase_FB2026_02_no_match
FOXP1,FBgn0262477,FoxP,8,True,HGNC:3823,MIM:605515,613670,2,FBhh0000639 | FBhh0000641,FlyBase_FB2026_02
FOXP2,FBgn0262477,FoxP,8,True,HGNC:13875,MIM:605317,602081,2,FBhh0000639 | FBhh0000641,FlyBase_FB2026_02
GIGYF2,FBgn0039936,Gyf,10,True,HGNC:11960,MIM:612003,607688,1,FBhh0000638,FlyBase_FB2026_02
GMPPB,FBgn0037279,Gmppb,14,True,HGNC:22932,MIM:615320,"615350,615351,615352",0,,FlyBase_FB2026_02
GMPPB,FBgn0034035,Gmppa,4,False,HGNC:22932,MIM:615320,"615350,615351,615352",0,,FlyBase_FB2026_02
GNAI2,FBgn0001104,Galphai,11,True,HGNC:4385,MIM:139360,192605,0,,FlyBase_FB2026_02
GNAI2,FBgn0001122,Galphao,7,False,HGNC:4385,MIM:139360,192605,2,FBhh0001127 | FBhh0001481,FlyBase_FB2026_02
GNAI2,FBgn0033756,CG17760,6,False,HGNC:4385,MIM:139360,192605,0,,FlyBase_FB2026_02
GNAI2,FBgn0050054,CG30054,5,False,HGNC:4385,MIM:139360,192605,0,,FlyBase_FB2026_02
GNAI2,FBgn0004435,Galphaq,5,False,HGNC:4385,MIM:139360,192605,1,FBhh0000976,FlyBase_FB2026_02
GNAI2,FBgn0000384,cta,5,False,HGNC:4385,MIM:139360,192605,0,,FlyBase_FB2026_02
GNAI2,FBgn0010223,Galphaf,4,False,HGNC:4385,MIM:139360,192605,0,,FlyBase_FB2026_02
GNAI2,FBgn0001123,Galphas,3,False,HGNC:4385,MIM:139360,192605,0,,FlyBase_FB2026_02
GNAT1,FBgn0001104,Galphai,8,True,HGNC:4393,MIM:139330,"610444,616389",0,,FlyBase_FB2026_02
GNAT1,FBgn0001122,Galphao,7,False,HGNC:4393,MIM:139330,"610444,616389",2,FBhh0001127 | FBhh0001481,FlyBase_FB2026_02
GNAT1,FBgn0033756,CG17760,6,False,HGNC:4393,MIM:139330,"610444,616389",0,,FlyBase_FB2026_02
