human_gene_symbol,dmel_gene_id,dmel_gene_symbol,diopt_score,credible_set_mapped,magma_exomewide,magma_p,positive_control,flybase_disease_model_count,neuron_mean_expression,neuron_positive_percent,interneuron_mean_expression,interneuron_positive_percent,motor_neuron_mean_expression,motor_neuron_positive_percent,sensory_neuron_mean_expression,sensory_neuron_positive_percent,sensory_organ_cell_mean_expression,sensory_organ_cell_positive_percent,glial_cell_mean_expression,glial_cell_positive_percent
ABHD5,FBgn0033226,puml,12,True,False,,False,1,532,7,825,2,333,2,541,8,606,8,589,9
ADGRL3,FBgn0033313,Cirl,10,False,False,,True,1,1083,50,1223,43,1015,77,901,46,944,45,971,48
AMT,FBgn0032287,Gcst,14,True,False,,False,0,468,0,773,0,0,0,486,0,459,0,516,0
ANO10,FBgn0000152,Axs,11,True,True,1.724e-07,False,0,509,3,769,1,535,5,484,2,528,2,617,3
ARHGAP28,FBgn0039994,conu,10,True,False,,False,0,658,23,900,13,484,27,644,24,687,21,690,23
ARHGAP39,FBgn0038853,RhoGAP93B,12,True,False,,False,0,824,36,1200,42,792,62,748,33,796,32,863,31
ATP6V0B,FBgn0028662,VhaPPA1-1,14,False,True,1.3563e-06,False,0,663,19,927,13,489,15,646,21,680,19,656,20
B4GALT2,FBgn0027538,beta4GalNAcTA,13,True,False,,False,0,553,3,925,2,383,2,526,3,565,3,522,2
C8orf82,FBgn0050010,CG30010,13,True,False,,False,0,503,0,803,0,385,0,512,0,554,0,535,0
CAMKV,FBgn0016126,CaMKI,6,True,True,7.4592e-07,False,0,1453,65,1422,53,851,68,1741,75,1748,71,1116,46
CDC20,FBgn0001086,fzy,13,False,True,6.8835e-09,False,0,347,0,830,0,150,0,397,0,479,0,413,0
CDH8,FBgn0262018,CadN2,3,True,True,4.1302e-11,False,0,628,7,906,12,689,16,546,2,563,4,639,6
COMMD5,FBgn0067622,LSm-4,10,True,False,,False,0,372,8,535,5,308,9,361,8,386,7,346,7
CUBN,FBgn0052702,Cubn,12,False,True,4.9837e-07,False,1,516,3,777,1,358,9,528,2,568,2,574,2
CYHR1,FBgn0266918,CG32486,14,True,False,,False,0,979,52,1269,47,878,73,959,55,1002,53,1048,54
DCC,FBgn0011592,fra,12,True,True,1.3093e-10,False,1,609,12,941,9,527,22,560,9,589,8,687,15
DUSP6,FBgn0036844,Mkp3,11,False,True,2.1511e-06,False,0,1172,53,1524,51,1247,71,1098,53,1165,51,1658,65
ELOVL1,FBgn0051522,CG31522,12,True,True,1.7847e-07,False,0,795,23,936,11,524,33,752,26,786,22,756,17
FOXP1,FBgn0262477,FoxP,8,True,False,,False,2,887,37,1255,42,781,53,816,33,861,33,758,20
FOXP2,FBgn0262477,FoxP,8,True,True,1.9091e-09,False,2,887,37,1255,42,781,53,816,33,861,33,758,20
GIGYF2,FBgn0039936,Gyf,10,False,True,1.5645e-06,False,1,822,38,1090,33,791,61,734,34,775,34,775,34
GMPPB,FBgn0037279,Gmppb,14,True,False,,False,0,515,4,809,2,412,3,526,4,557,4,537,4
GNAI2,FBgn0001104,Galphai,11,True,False,,False,0,504,10,788,2,444,7,487,10,570,9,790,23
GNAT1,FBgn0001104,Galphai,8,True,True,1.0938e-06,False,0,504,10,788,2,444,7,487,10,570,9,790,23
GPX1,FBgn0034415,Gpxl,4,True,False,,False,0,375,0,0,0,448,0,318,0,208,0,1074,0
GPX1,FBgn0035438,Gtpx,4,True,False,,False,0,691,16,917,5,463,9,688,21,708,17,654,16
HYI,FBgn0011770,Gip,13,True,True,7.3335e-08,False,0,546,2,904,0,410,1,463,1,522,1,560,2
KAT2B,FBgn0020388,Gcn5,12,True,False,,False,1,526,3,814,1,258,1,512,3,556,3,549,3
KCNJ13,FBgn0039081,Irk2,4,False,True,1.4169e-06,False,2,533,3,869,1,385,1,493,2,582,3,880,14
KCNJ13,FBgn0032706,Irk3,4,False,True,1.4169e-06,False,1,425,0,979,0,322,0,412,0,486,0,691,1
KDM4A,FBgn0033233,Kdm4A,10,False,True,3.1831e-11,False,0,542,3,851,2,368,4,535,3,570,3,527,3
KIFC2,FBgn0002924,ncd,3,True,False,,False,0,547,0,937,0,301,2,529,0,561,0,629,0
L3MBTL4,FBgn0002441,l(3)mbt,8,True,False,,False,2,534,6,874,4,395,7,518,6,558,5,575,6
LSM6,FBgn0034564,CG9344,14,True,True,3.7061e-08,False,0,544,2,835,1,397,0,534,2,571,2,519,2
MAPKAPK3,FBgn0013987,MAPk-Ak2,14,True,False,,False,0,562,8,835,4,486,7,537,9,586,8,578,8
